Percent_ Fair/Poor,Physically_Unhealthy_Days,Mentally _Unhealthy Days,Percent_ LBW,Percent_ Smokers,Percent_ Obese,Percent_ Physically Inactive,Percent_ Excessive_Drinking,Chlamydia_Rate,Teen_Birth_Rate,PCP_Rate,Dentist_Rate,MHP_Rate,ACSC_Rate,HS_Graduation_Rate,Percent_ Unemployed,Percent_ Children_Poverty,Percent_ Single_Parent_Households,Violent_Crime_Rate,Younger_than_18,65_over,African_American,American_Indian ,Asian,Native_Hawaiian ,Hispanic,NonHispanic_white,Percent_ Not_Proficient_English,Female,Rural,Percent_ Diabetic,HIV_Rate,Age_adjusted_Mortality,Infant_mortality_rate,Child_mortality_rate,Percent_ Adults_Uninsured,Health_Costs,Percent_ Couldn't_Access_Doctor,Household_Income,Percent_ Free_Lunch
23,3.9,3.5,8.6,23,34,31,14,563,75,28,43,37,94,66,13.7,40,38,637,28.5,12.4,12.9,2.2,0.9,0.2,49.4,34.7,16.8,46.3,37.9,11,424,437.4,7.3,70.6,43,11382,24,36515,72
22,4.8,5.9,8,23,29,26,17,225,35,61,37,56,74,71,10.9,29,36,348,19.2,26.8,4.8,0.4,1.2,0.1,10.7,81.7,1.5,52.3,19.4,12,131,419.9,7.4,51.8,26,11675,16,37093,47
22,3.8,4.2,8.1,19,30,28,12,284,56,59,32,57,73,60,9.3,37,37,286,18.2,33,9.1,0.6,1.5,0.1,17.7,70.1,4.4,51.2,21.1,14,234,365.9,6.6,65.8,33,11616,18,34722,60
17,4.2,4.1,9,18,27,23,19,575,44,78,49,131,66,69,8.5,27,39,469,23.3,12.4,16,0.5,3.7,0.1,25.1,53.3,5.4,51.1,3.5,11,558,368.4,8.4,70.2,28,11445,18,46534,48
24,5.2,3.6,7.6,22,31,33,9,146,65,30,35,76,158,75,7.1,35,34,298,21.2,18,6,0.8,0.6,0.1,2.6,88.2,0.3,46.9,78.8,15,374,519,,56.9,27,12193,16,36272,53
19,3.3,4,7.5,19,22,24,20,294,41,68,60,99,41,72,10.6,25,35,328,18.3,28.6,8.9,0.4,1.3,0,11.5,77.1,3.3,51.8,5,12,260,315.1,6.7,64.5,29,9856,19,42638,47
20,4,3.6,9.9,18,34,32,11,560,51,41,22,94,74,65,7.1,29,34,487,19.2,16.7,26.4,0.7,0.6,0.2,4.4,66.4,1.3,45.4,75.4,13,713,437.1,8,61.9,23,10534,18,34978,50
22,4.3,4.6,10.4,18,35,29,9,519,53,14,28,,60,38,7.9,32,38,846,18.1,18.7,35.5,0.3,0.6,0,3.8,58.8,0.9,47.8,100,13,632,414.3,,116.2,25,8422,13,38244,67
23,5.5,3.9,8,17,35,29,8,134,61,11,11,11,105,63,7.4,31,24,216,20.5,13.7,15.2,0.6,0.2,0,12.5,70.9,3.3,39,100,11,380,464.2,,,32,9765,17,34054,51
15,3.5,3.6,8,15,29,23,12,305,48,64,43,57,62,75,9,26,31,396,20.3,25.2,9.6,0.6,2,0.1,12.7,74,1.9,51.6,19.3,12,210,348.5,6.8,63.5,25,10713,14,41579,46
14,3.7,4.4,8.1,20,26,24,17,321,44,60,43,72,59,69,8.9,26,37,383,19.1,24.9,8,0.5,1.5,0.1,18.6,70.6,5.7,50.9,5.8,11,293,295.1,6.5,56.1,31,10488,19,46396,54
10,2.8,3.2,9.5,15,28,20,19,1030,18,80,35,158,52,70,7.2,21,40,753,18.6,10.3,30.2,0.3,3,0.1,5.7,59,0.9,52.5,12.3,9,406,317.7,9.7,73.4,22,9327,9,46014,37
20,5.3,4.2,8,20,34,33,11,406,52,25,25,25,77,61,9.5,36,37,495,20.5,21.4,9.4,0.5,0.7,0.1,7.7,80.4,1,50.7,92,13,155,453.9,8.6,76.5,31,9945,24,32815,61
14,4.5,3,10.1,23,36,33,14,361,61,,36,85,98,53,7.2,31,43,137,21,11.2,17.9,1.3,0.3,0.1,6.6,73.1,2.8,39.1,100,12,453,438,,,25,11388,16,37726,45
18,4.2,4.3,10.4,21,36,30,13,508,57,16,21,26,93,57,10.1,36,45,811,21.1,17,38.6,0.6,0.3,0,4.9,54.7,1.2,47.4,80,14,580,469.5,11.6,105.2,27,10349,17,31469,70
16,3.9,3.8,7.7,17,25,25,17,371,53,58,43,86,49,65,8.6,25,37,695,20.1,24.5,8.7,0.5,1.8,0.1,15.1,73,4.2,51.7,5.8,11,299,332.5,6.8,64.1,29,10617,17,46999,48
19,4.1,4.8,8.2,21,32,27,15,416,53,54,36,70,52,70,10,33,40,536,18.9,26.8,12.2,0.5,1.5,0.1,11.2,73.5,2.1,52.1,31,12,285,394.4,9.4,70.9,29,10178,18,37287,55
15,2.5,3.3,7.7,17,20,20,17,252,34,75,66,126,42,82,8.8,24,28,287,17.3,28.3,5.2,1,1.2,0.2,12.4,80,3.7,50.5,8.5,9,340,289.3,6.7,41.5,25,9870,18,47120,35
16,3.2,3.3,8.9,12,22,24,12,346,32,78,54,119,89,71,9.3,30,39,754,21,14.5,17.1,0.3,1.6,0.1,64.7,15.8,21.8,51.4,0.4,9,1208,292.3,5.7,53.8,41,15191,17,41311,62
10,3.2,3.5,7.6,22,19,18,28,184,28,68,51,128,61,66,5,21,31,508,14.9,19,5.6,0.4,1.2,0.1,21.1,70.4,5.6,46.9,8.7,7,1005,374.6,4.6,49.5,30,8785,18,52152,38
15,4,3.8,7.8,20,28,24,14,276,44,38,27,67,63,80,7.7,19,29,343,21.1,18.3,6.3,0.5,0.9,0.1,3.4,87.7,0.2,50.7,48.1,10,149,379.9,6.2,70.8,22,10043,18,55367,36
18,4.5,3.2,7.9,22,29,23,16,439,43,75,66,124,71,85,6.2,22,35,363,22.1,14.3,9.1,0.7,3.1,0.2,7.2,76.7,1.7,49.8,12.1,10,221,365.3,7.2,71.7,23,10353,13,52381,31
24,3.9,3.4,9.1,20,32,31,12,463,76,50,33,48,118,62,10.2,38,46,560,23.9,16.9,8,1.3,1,0.1,24.6,64.8,7.6,46.4,36.5,10,383,471.7,5.7,72.8,36,13967,18,34742,63
15,3.3,3.2,9.1,15,26,24,16,520,37,75,43,141,72,71,8.3,27,38,793,23.1,10.2,19.7,0.5,5.3,0.2,27.6,45.5,6,50.8,2,9,772,322.3,7.8,66.3,29,11552,18,45565,50
